"osm_id","name","lat","lon","category","type","accessible"
-25770658,"SCN Sportclub Neuenheim 02 e.V. Abt. Rugby",49.4172704,8.6604328,"sport","pitch","limited"
-25770657,"SCN Sportclub Neuenheim 02 e.V. Abt. Rugby",49.4170579,8.6594127,"sport","pitch","unknown"
2894558615,"Heidelbeach/Heidelgarden",49.420054,8.6567921,"food","bar","unknown"
-25960093,"",49.4194529,8.6605359,"public_transfer","parking","unknown"
277757594,"Technologiepark",49.4195733,8.6753773,"public_transfer","bus_stop","yes"
540197384,"Sonnen Apotheke",49.4175366,8.6821006,"health","pharmacy","limited"
622290190,"Mönchhofschule",49.4174337,8.6856825,"public_transfer","bus_stop","unknown"
622292949,"Johannes-Kepler-Realschule",49.4175511,8.6857342,"education","school","no"
4045795986,"",49.4180692,8.6756555,"tourism","artwork","unknown"
-48396292,"Pädagogische Hochschule Heidelberg",49.4201787,8.6838847,"education","university","limited"
-48396293,"Bibliothek Pädagogische Hochschule",49.4198182984388,8.68454079067159,"education","library","limited"
-172091898,"",49.4190630545596,8.68287115501799,"misc","place_of_worship","unknown"
-138627115,"Mönchhofschule/Johannes-Kepler-Realschule",49.4179341,8.6864462,"leisure","playground","unknown"
2534500489,"Technologiepark",49.4192296,8.6763297,"public_transfer","bus_stop","unknown"
267766025,"Technologiepark",49.4192709,8.676258,"public_transfer","tram_stop","limited"
580871156,"Zum Hendsemer Löb",49.4258813,8.6617121,"food","restaurant","unknown"
-232998712,"",49.4259338302841,8.66187480903691,"food","biergarten","unknown"
-25955523,"",49.4234079416163,8.65951869028431,"public_transfer","parking","unknown"
-25769142,"",49.4229671180117,8.66288244860457,"public_transfer","parking","unknown"
-25956125,"",49.4230055438213,8.66090968723963,"public_transfer","parking","unknown"
-25956127,"",49.4236306813868,8.65618857551098,"public_transfer","parking","unknown"
-25956129,"",49.4240514888741,8.65719593545284,"public_transfer","parking","unknown"
-25770126,"",49.4244848613103,8.65743010808378,"public_transfer","parking","unknown"
-166184188,"",49.4270621,8.6608954,"sport","pitch","unknown"
-166184173,"",49.4271627,8.6617189,"sport","pitch","unknown"
-166184189,"",49.4268917,8.660169,"sport","pitch","unknown"
282209495,"Bunsengymnasium",49.417056,8.6767755,"public_transfer","bus_stop","yes"
645799540,"Catenan",49.4171164,8.6729011,"tourism","artwork","yes"
660404244,"Dem Lebendigen Geist",49.4167279,8.6721344,"tourism","artwork","yes"
2340228089,"stadtmobil CarSharing-Station",49.4159532,8.6836921,"public_transfer","car_sharing","unknown"
2340228958,"stadtmobil CarSharing-Station",49.415674,8.6813317,"public_transfer","car_sharing","unknown"
-167450278,"Sporthalle Bunsen-Gymnasium",49.4165605150188,8.67690931452544,"sport","sports_centre","unknown"
-167051979,"",49.4170451610586,8.67752587090535,"public_transfer","parking","yes"
-167051978,"",49.4169024751801,8.67745450007574,"public_transfer","parking","yes"
-138564974,"Bunsen-Gymnasium (Schulbereich)",49.4159250326135,8.67719084113546,"leisure","playground","unknown"
-91305434,"Astoria",49.4155655,8.6907453,"accommodation","hotel","no"
-91083943,"Evangelischer Jakobuskindergarten",49.4151467,8.679553,"education","kindergarten","unknown"
-91083997,"Jakobuskirche",49.415385,8.6793936,"misc","place_of_worship","unknown"
-88679052,"",49.4149659563554,8.69050592516324,"leisure","playground","unknown"
-25815335,"",49.4155849,8.6784945,"public_transfer","parking","yes"
-228358038,"",49.4155825,8.6745458,"public_transfer","parking","unknown"
2288933407,"Heidelberger Volksbank eG",49.4168755,8.6790034,"money_post","bank","unknown"
-25240441,"Bunsen-Gymnasium",49.4162913,8.6775797,"education","school","yes"
3203153961,"Institut für Anatomie",49.4170921,8.6706966,"education","college","yes"
3217655761,"INF 227",49.4164475,8.6716079,"education","college","yes"
725069733,"",49.4154001,8.6698476,"leisure","playground","limited"
2242897155,"",49.4149077,8.6641649,"misc","toilets","unknown"
3773428899,"Heidelberg Neuenheimer Feld - Zoo",49.4149227,8.6648005,"public_transfer","bicycle_rental","unknown"
2343179537,"Klinik für Allgemeine Innere Medizin und Psychosomatik",49.4155972,8.6663847,"health","hospital","limited"
-214818235,"",49.4145550728993,8.66427684956534,"leisure","playground","unknown"
-141216666,"Tropenmedizinische Ambulanz",49.4158766,8.669801,"health","hospital","yes"
-35387686,"",49.4137513,8.6648429,"public_transfer","parking","yes"
-26006151,"Nierenzentrum",49.4141877,8.665854,"health","hospital","yes"
-25963212,"Botanischer Garten",49.4150337,8.6679812,"tourism","attraction","limited"
540583953,"Appel un' Ei",49.4152112,8.6707928,"shopping","convenience","limited"
2714387036,"",49.4148281,8.6710977,"money_post","atm","yes"
2716861652,"",49.415646,8.6666103,"money_post","atm","yes"
2716955626,"",49.4157103,8.6706413,"misc","toilets","yes"
2730697395,"Cafeteria Medizinische Klinik",49.4156419,8.666197,"food","cafe","yes"
649031807,"Café Frisch",49.428491,8.6833643,"shopping","bakery","no"
3773428897,"Heidelberg Handschuhsheim - Hans-Thoma-Platz",49.4282885,8.6835188,"public_transfer","bicycle_rental","yes"
2291332771,"Hallo Habibi",49.4291086,8.6831848,"food","fast_food","unknown"
2393196654,"BB Bank",49.4283321,8.6836841,"money_post","bank","no"
2393199485,"Haarlass",49.429172,8.68257,"shopping","hairdresser","no"
-87574611,"Penny",49.4288575,8.6831276,"shopping","supermarket","yes"
-24828105,"",49.4287976505294,8.68362860201592,"public_transfer","parking","unknown"
-24828108,"",49.4282659949828,8.68288160936718,"public_transfer","parking","unknown"
-25056153,"",49.428165,8.6837315,"public_transfer","parking","no"
2501685375,"Blumen Kücherer",49.4282188,8.681795,"shopping","florist","limited"
2501685388,"Wahl G. Frisierstube",49.4281369,8.6817373,"shopping","hairdresser","limited"
2501697545,"Friseursalon Wagner",49.4295439,8.6814208,"shopping","hairdresser","yes"
-241139163,"Postbank",49.4278326,8.6839362,"money_post","bank","limited"
-318054435,"",49.4284212,8.6802827,"public_transfer","parking","unknown"
-101778353,"Rewe",49.4250234,8.6423773,"shopping","supermarket","yes"
-99927522,"Neuapostolische Kirche",49.4217836,8.6423453,"misc","place_of_worship","unknown"
-27639763,"",49.4246952756699,8.64045839856465,"public_transfer","parking","yes"
-27639022,"",49.4208702,8.6400167,"public_transfer","parking","unknown"
-24824497,"Finanzamt, ProMinent",49.4229108,8.641798,"public_transfer","parking","unknown"
2951967519,"De Vino Weinimport",49.4230531,8.6442543,"misc","company","no"
-25127337,"",49.4252307970273,8.64408628273373,"public_transfer","parking","unknown"
2952000403,"Dialysezentrum Wieblingen",49.4227983,8.6431542,"health","doctors","unknown"
2951980369,"MODUS Product Design GmbH",49.4225817,8.6428173,"misc","company","yes"
2951967520,"H&B Werbe & Messetechnik GmbH",49.4231318,8.6445886,"misc","company","unknown"
2951967521,"Heimbeatmung Büro Heidelberg",49.4230634,8.644241,"health","social_facility","no"
2951967523,"Stock Mechanik",49.4231199,8.6446014,"misc","company","unknown"
2951975941,"MyEyeSaver Augenzentrum für Laserchirurgie",49.4229163,8.6435923,"health","doctors","yes"
2951993771,"St. Thomas e.V.",49.4229363,8.6435761,"health","social_facility","yes"
2951998100,"SINUS-Institut Heidelberg",49.4228273,8.643111,"misc","company","unknown"
2951980368,"1",49.4225731,8.6427798,"misc","company","unknown"
2951980370,"PROGEN Biotechnik GmbH",49.4225998,8.6428463,"misc","company","yes"
2951980371,"Mitschke & Collegen",49.4226132,8.6428765,"misc","lawyer","yes"
2952015568,"Dr. Peter Tesarz",49.4226089,8.6428114,"health","doctors","yes"
2952015569,"Dr. Traudel Polzer",49.4226143,8.6428343,"health","doctors","yes"
297353579,"Hirschgasse",49.4159882,8.7159505,"public_transfer","bus_stop","unknown"
298040971,"Hirschgasse",49.4161997,8.7168545,"public_transfer","bus_stop","unknown"
765058213,"",49.4148114,8.7196509,"misc","toilets","yes"
2155875169,"",49.4192233,8.7166853,"tourism","viewpoint","unknown"
2282501518,"",49.4196542,8.7232011,"tourism","viewpoint","unknown"
-87425203,"Kulturzentrum Karlstorbahnhof",49.4146969,8.7191521,"tourism","arts_centre","limited"
-219059724,"Heiligenbergturm",49.419592,8.7041878,"tourism","viewpoint","unknown"
2961311833,"Julius Rinklin",49.4158083,8.7151936,"tourism","memorial","yes"
-305972377,"Äußerer Ringwall",49.417847,8.7024227,"tourism","attraction","unknown"
-305972366,"Innerer Ringwall",49.4194506,8.7024377,"tourism","attraction","unknown"
-305972361,"",49.4188867,8.7068475,"tourism","attraction","unknown"
-305972358,"",49.4188848,8.7008242,"tourism","attraction","unknown"
-305972354,"",49.4192916,8.7035351,"tourism","attraction","unknown"
-305972347,"",49.4184674,8.7052052,"tourism","attraction","unknown"
670982157,"Bäckerei Grimminger",49.429802,8.681339,"shopping","bakery","yes"
-87199437,"Avia",49.4296957,8.6822855,"public_transfer","fuel","yes"
-168244418,"Gasthaus Zum Ritter",49.429832,8.6853712,"food","restaurant","no"
3601041827,"Freischaren-Schanze",49.4299579,8.7185898,"tourism","archaeological_site","unknown"
274827464,"Pädagogische Hochschule",49.419498,8.6698006,"public_transfer","bus_stop","yes"
276109572,"Kopfklinik",49.4191883,8.6668931,"public_transfer","bus_stop","yes"
276109583,"Kopfklinik",49.4190627,8.6671538,"public_transfer","bus_stop","yes"
278687512,"Pädagogische Hochschule",49.4194276,8.6698926,"public_transfer","bus_stop","yes"
281825582,"Polizeirevier Heidelberg-Nord",49.4211992,8.6798616,"government","police","yes"
4010862220,"Rewe",49.4189637,8.6756599,"shopping","supermarket","unknown"
2336545446,"SAI-Bibliothek INF 330",49.4184811,8.6699057,"education","library","no"
-223281421,"",49.4214913297211,8.67820877108047,"leisure","playground","unknown"
-94551483,"",49.418781,8.6767384,"education","university","no"
-94551449,"204",49.4187857,8.6768219,"education","university","no"
-39498556,"",49.4223177583445,8.67462266244899,"public_transfer","parking","unknown"
-244896480,"",49.4221939,8.6780983,"sport","pitch","unknown"
-25208386,"TP Lounge",49.421854,8.6754363,"food","cafe","unknown"
-25208382,"Blutspendezentrale Heidelberg IKTZ",49.422525,8.6751105,"health","hospital","unknown"
-24974574,"",49.4204131633412,8.67570355066027,"public_transfer","parking","limited"
-24970858,"",49.4213930024603,8.67502491623346,"public_transfer","parking","limited"
-225875415,"",49.4210926402872,8.67883566968156,"public_transfer","parking","unknown"
-25806734,"",49.4210765490645,8.67750506006763,"public_transfer","parking","unknown"
2295781223,"",49.4222073,8.6781335,"sport","pitch","unknown"
-24975167,"",49.4203752,8.6708897,"public_transfer","parking","unknown"
-107183697,"Kreuzkirche",49.4265663,8.6476199,"misc","place_of_worship","no"
-101778585,"Kreativ-Werkstatt",49.4279959,8.6485439,"shopping","florist","unknown"
-101778306,"Metzgerei Wickenhäuser",49.4270902,8.6483857,"shopping","butcher","unknown"
-100956286,"",49.42871545,8.6446215,"public_transfer","parking","unknown"
-96693509,"Bürgeramt",49.4255146,8.6476416,"government","townhall","unknown"
2446830363,"Die Olive Feinkostgeschäft und Snackbar",49.4269602,8.6468617,"food","fast_food","no"
2446830364,"Jan Doubravsky",49.4265297,8.6443834,"health","doctors","unknown"
-100956289,"Aral",49.4296987,8.6455304,"public_transfer","fuel","yes"
2943381890,"Florian Häberle",49.4291441,8.6463981,"health","dentist","no"
2446192891,"Ristorante Il Pescatore",49.4278664,8.6462916,"food","restaurant","no"
2441481472,"Verivox GmbH",49.4283658,8.6423572,"misc","company","unknown"
1636306596,"Dr. Barbara Najiyya",49.4279146,8.6470176,"health","dentist","no"
2446192899,"s' Lädele",49.4273232,8.6469782,"shopping","fabric","no"
2446766251,"Fahrschule Formel 1",49.4285627,8.6458063,"education","driving_school","unknown"
2446830365,"Juana Kosmetikstudio",49.4273301,8.6466275,"shopping","beauty","no"
2943107766,"Bäckerei Wacker",49.4270878,8.6470653,"shopping","bakery","no"
2943107767,"Hair and Beauty",49.4286457,8.646062,"shopping","hairdresser","no"
2943107769,"Kreuz-Apotheke",49.4268045,8.646973,"health","pharmacy","yes"
2943107789,"Euronics Kroll",49.4266691,8.647054,"shopping","electronics","no"
